"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"01.07.2021","4,5130","4,5219","4,5283","4,5033","-0,06%"
"30.06.2021","4,5159","4,5198","4,5304","4,5064","0,01%"
"29.06.2021","4,5155","4,5022","4,5276","4,4942","0,40%"
"28.06.2021","4,4974","4,5146","4,5209","4,4984","-0,30%"
"25.06.2021","4,5110","4,5183","4,5251","4,5033","-0,06%"
"24.06.2021","4,5136","4,5342","4,5427","4,5113","-0,35%"
"23.06.2021","4,5294","4,5138","4,5434","4,5066","0,45%"
"22.06.2021","4,5091","4,5269","4,5467","4,5115","-0,30%"
"21.06.2021","4,5226","4,5537","4,5598","4,5238","-0,45%"
"18.06.2021","4,5432","4,5598","4,5658","4,5395","-0,27%"
"17.06.2021","4,5556","4,5272","4,5627","4,5194","0,74%"
"16.06.2021","4,5221","4,5290","4,5356","4,4988","-0,03%"
"15.06.2021","4,5235","4,5133","4,5367","4,5116","0,36%"
"14.06.2021","4,5073","4,5018","4,5244","4,4866","0,28%"
"11.06.2021","4,4946","4,4694","4,5053","4,4647","0,72%"
"10.06.2021","4,4624","4,4748","4,4893","4,4647","-0,17%"
"09.06.2021","4,4702","4,4627","4,4798","4,4493","0,25%"
"08.06.2021","4,4592","4,4689","4,4766","4,4601","-0,06%"
"07.06.2021","4,4621","4,4602","4,4750","4,4517","0,17%"
