"Wyszczególnienie","Rok","Kwartał","Podatek od gier (tys zl)","data"
"Zakłady wzajemne","2021","II kw.","309334.585","2021II kw."
"Loterie audioteksowe","2018","I kw.","2041.211","2018I kw."
"Loterie audioteksowe","2018","II kw.","1453.604","2018II kw."
"Loterie audioteksowe","2018","III kw.","1778.511","2018III kw."
"Loterie audioteksowe","2018","IV kw.","2498.473","2018IV kw."
"Loterie audioteksowe","2019","I kw.","2147.0692999999997","2019I kw."
"Loterie audioteksowe","2019","II kw.","2733.236","2019II kw."
"Loterie audioteksowe","2019","III kw.","2561.917","2019III kw."
"Loterie audioteksowe","2019","IV kw.","3069.779","2019IV kw."
"Loterie audioteksowe","2020","I kw.","2847.824","2020I kw."
"Loterie audioteksowe","2020","II kw.","2070.954","2020II kw."
"Loterie audioteksowe","2020","III kw.","1595.112","2020III kw."
"Loterie audioteksowe","2020","IV kw.","3035.199","2020IV kw."
"Loterie audioteksowe","2021","I kw.","2797.92","2021I kw."
"Loterie audioteksowe","2021","II kw.","2939.42","2021II kw."
"Loterie fantowe","2018","I kw.","2.038","2018I kw."
"Loterie fantowe","2018","II kw.","3.795","2018II kw."
"Loterie fantowe","2018","III kw.","1.1","2018III kw."
"Loterie fantowe","2018","IV kw.","4.852","2018IV kw."
"Loterie fantowe","2019","I kw.","2.528","2019I kw."
"Loterie fantowe","2019","II kw.","4.379","2019II kw."
"Loterie fantowe","2019","III kw.","1.18","2019III kw."
"Loterie fantowe","2019","IV kw.","4.822","2019IV kw."
"Loterie fantowe","2020","I kw.","1.794","2020I kw."
"Loterie fantowe","2020","II kw.","0","2020II kw."
"Loterie fantowe","2020","III kw.","2.486","2020III kw."
"Loterie fantowe","2020","IV kw.","0","2020IV kw."
"Loterie fantowe","2021","I kw.","0","2021I kw."
"Loterie fantowe","2021","II kw.","1.513","2021II kw."
